macrophages	mast	B.naive	B.memory	plasma	T.CD4.naive	T.CD4.memory	T.CD8.naive	T.CD8.memory	NK	pDCs	mDCs	monocytes.C	monocytes.NC.I	neutrophils	Treg	endothelial.cells	fibroblasts	ROI	segment	class
0.0147193318476236	0.00259388990926877	0	0.0242304568069649	0.118596265750407	0.219009733140257	0	0.110876472550195	0	0.0292305618747726	0.000185473424626343	0	0	0.0515885922171968	0.0668346492644483	0	0.339705612841524	0.022428960372715	DSP-1001250007851-H-B10.dcc	Geometric Segment	DKD
0.0245974466114927	0.00148591998942441	0.0276667233985268	0	0.0858781275098508	0.185832977346132	0	0.176005847179122	0	0.00152844596406036	0.000120076516196657	0	0	0.0898695164553952	0.119207829605004	0	0.269842604169294	0.0179644852555005	DSP-1001250007851-H-B11.dcc	Geometric Segment	DKD
0.020962360427294	0.00131217719696027	0.0134674942586129	0	0.0755458859705513	0.223658526885718	0	0.108997414665481	0	0.0187081615529096	0.0153216324470131	0	0	0.0755859640375741	0.0885419249233595	0.0128074472592202	0.323113106761658	0.0219779036136475	DSP-1001250007851-H-B12.dcc	Geometric Segment	DKD
0.0189904205241528	0.00175113752817101	0.0310716309213762	0	0.106120006267162	0.147615799326014	0	0.166881362101153	0	0.0350168313359489	0	0	0	0.0507511820546341	0.0937595953589752	0	0.311375973488028	0.0366660610943854	DSP-1001250007851-H-C01.dcc	Geometric Segment	DKD
0.0215245003905024	0.00173330231123892	0.0474249523701002	0	0.0777713908555592	0.0506825256029097	0	0.179966032571036	0	0.0562706074038747	0	0	0	0.0659194732199212	0.085762088605121	0.0187606022791632	0.362539311446977	0.0316452129435963	DSP-1001250007851-H-C02.dcc	Geometric Segment	DKD
0.0139557369010055	0.0010655962430816	0	0	0.0795681384088387	0.0976517301455165	0	0.208650078261467	0	0.0359713470449258	0.000593991577066888	0	0	0.0605402981412949	0.0905484303838463	0.0414700583174241	0.336464026979272	0.0335205675962603	DSP-1001250007851-H-C03.dcc	Geometric Segment	DKD
0.0255409424863922	0.0024324087339312	0.039935837385994	0	0.0735111795688415	0.19099937145635	0.0308367760778854	0.116059091051597	0	0.0401154802524745	0	0	0	0.0503985332255341	0.128106897292822	0	0.262635991555876	0.0394274909123019	DSP-1001250007851-H-C04.dcc	Geometric Segment	DKD
0.0166086041625013	0.00138512048852837	0.0402725053731156	0	0.0649217360522623	0.0973266763710946	3.73943511483403e-05	0.300059742030144	0	0.0418702917276576	0.00447712290728132	0	0	0.0503445468851994	0.0528835561150303	0.00474050860278338	0.267644143126578	0.0574280518066752	DSP-1001250007851-H-C05.dcc	Geometric Segment	DKD
0.0135684295439088	0.00108494975726011	0	0	0.0964260537493091	0.17044348727671	0	0.174044531743424	0	0.0198390718161188	0.00317076243686611	0	0	0.0933001283745018	0.0957824853615293	0.00420337896323768	0.303163558755351	0.024973162221783	DSP-1001250007851-H-C06.dcc	Geometric Segment	DKD
0.0210517387950738	0.00140845962153837	0.0184623356078075	0	0.0905429885969438	0.0774113728386653	0	0.23277012732985	0	0.0327608068810958	0.00879755531713514	0	0	0.124011120305442	0.0775075232791652	0	0.28027614945201	0.0349998219752739	DSP-1001250007851-H-C07.dcc	Geometric Segment	DKD
0.0175956041797433	0.00174105638517269	0.0105937203689829	0	0.137983200992646	0	0.0302677607651976	0.319176185240652	0	0.0699338258369989	0	0	0	0.0564337346205807	0.0810291833516426	0	0.243362424463307	0.0318833037950761	DSP-1001250007851-H-C08.dcc	Geometric Segment	DKD
0.0185576026597226	0.00152759810770576	0	0	0.134024616758312	0.0745216768298409	0	0.286102406955062	0	0.0224173711877589	0	0	0	0.065782296831973	0.107851680461501	0	0.235411749251126	0.0538030009569971	DSP-1001250007851-H-C09.dcc	Geometric Segment	DKD
0.0428858641006495	0.00211937025669713	0	0	0.11290639571028	0.208917189849644	0	0.139817876827825	0	0.0325802959157823	0	0	0	0.048217094930978	0.0680938363595076	0.00803094015509673	0.294250160347122	0.0421809755464177	DSP-1001250007851-H-C10.dcc	Geometric Segment	DKD
0.0337065734954984	0.00398595508017247	0	0.0187383461060819	0.0963771960520671	0.0521333655807365	0	0.191918922880976	0	0.0506034867492693	0	0	0	0.0602993856769592	0.0604328972424349	0	0.388109553798728	0.0436943173370765	DSP-1001250007851-H-C11.dcc	Geometric Segment	DKD
0.022478653918872	0.00157172724972247	0	0	0.123256520102851	0.132482642602806	0	0.235533970082807	0	0.0663898436938073	0	0	0	0.070100982005388	0.058871694010717	0.0371905902039051	0.222253783392687	0.0298695927364373	DSP-1001250007851-H-D02.dcc	Geometric Segment	DKD
0.0152342904324008	0.00184941362828206	0.0370888693529672	0	0.12643125427276	0.0909152171314118	0	0.259237005937914	0	0.0471067223694531	0.000578738102433539	0	0	0.0615026723481667	0.0813928339182763	0.000309679959422682	0.246607334080241	0.0317459684662701	DSP-1001250007851-H-D03.dcc	Geometric Segment	DKD
0.0150048501592146	0.000921929313960919	0.0240442109679188	0	0.114917277059354	0.157696174985942	0	0.176327972727754	0	0.0565003254119854	0	0	0	0.045970545105132	0.0730802171555957	0.0139865017234113	0.282799255438161	0.0387507399515701	DSP-1001250007851-H-D04.dcc	Geometric Segment	DKD
