panel	slide name	class	segment	area	nuclei	Segment	NegGeoMean_Hsa_WTA_v1.0	NegGeoSD_Hsa_WTA_v1.0	GenesDetected	GeneDetectionRate	DetectionThreshold	q_norm_qFactors
DSP-1001250007851-H-E01.dcc	WTX	disease4	DKD	PanCK+	23053.27	155	PanCK+	5.78218313801363	1.70177779311321	4731	0.255674448767834	>15%	0.983013185010482
DSP-1001250007851-H-E02.dcc	WTX	disease4	DKD	PanCK-	137927.28	426	PanCK-	39.6913385303108	1.25830316080512	6302	0.340575010808474	>15%	3.80917609191562
DSP-1001250007851-H-E03.dcc	WTX	disease4	DKD	PanCK+	17553.53	108	PanCK+	5.40582515799745	1.64318948510342	5003	0.270373973194985	>15%	0.860136536884171
DSP-1001250007851-H-E04.dcc	WTX	disease4	DKD	PanCK-	123467.45	403	PanCK-	28.2304221184048	1.2818849664815	5593	0.30225897103329	>15%	2.49849184523497
DSP-1001250007851-H-E05.dcc	WTX	disease4	DKD	PanCK+	22011.87	204	PanCK+	6.96061602028952	1.63766517472862	4995	0.269941634241245	>15%	1.06493095042802
DSP-1001250007851-H-E06.dcc	WTX	disease4	DKD	PanCK-	209925.63	590	PanCK-	35.4035076554856	1.3095680193069	5362	0.289775183744055	>15%	3.31766949941038
DSP-1001250007851-H-E07.dcc	WTX	disease4	DKD	PanCK+	17157.17	134	PanCK+	5.65490411978587	1.68280493774675	3143	0.169855166450497	>15%	0.737259888757861
DSP-1001250007851-H-E08.dcc	WTX	disease4	DKD	PanCK-	145616.81	353	PanCK-	31.5960699985013	1.28325308820857	3641	0.196768266320795	>15%	2.37561519710866
DSP-1001250007851-H-E09.dcc	WTX	disease4	DKD	PanCK+	10254.22	84	PanCK+	2.53379113096381	1.98110321396179	2450	0.132403804582793	10-15%	0.368629944378931
DSP-1001250007851-H-E10.dcc	WTX	disease4	DKD	PanCK-	105417.67	335	PanCK-	14.6626686150473	1.36355883478076	5197	0.280858192823173	>15%	1.43356089480695
DSP-1001250007851-H-E11.dcc	WTX	disease4	DKD	PanCK+	34076.47	206	PanCK+	9.26696206112832	1.44534201008889	6667	0.360300475572849	>15%	1.31068424668064
DSP-1001250007851-H-E12.dcc	WTX	disease4	DKD	PanCK-	137743.3	391	PanCK-	16.7512135281259	1.3699596346256	4768	0.25767401642888	>15%	1.6383553083508
DSP-1001250007851-H-F01.dcc	WTX	disease4	DKD	Geometric Segment	74627.75	326	Geometric Segment	19.5877780576338	1.34752212106827	2909	0.15720925205361	>15%	1.51547866022449
DSP-1001250007851-H-F02.dcc	WTX	disease4	DKD	Geometric Segment	56775.66	203	Geometric Segment	14.3020413374212	1.39960135432751	3852	0.208171206225681	>15%	1.35164312938941
DSP-1001250007851-H-F03.dcc	WTX	disease4	DKD	Geometric Segment	80786.89	266	Geometric Segment	17.4936472991047	1.3429283006879	2995	0.161856895806312	>15%	1.35164312938941
DSP-1001250007851-H-F04.dcc	WTX	disease4	DKD	Geometric Segment	42607.61	189	Geometric Segment	7.86600023917116	1.51171474746511	2877	0.155479896238651	>15%	0.737259888757861
DSP-1001250007851-H-F05.dcc	WTX	disease4	DKD	Geometric Segment	71246.79	315	Geometric Segment	17.2762318976124	1.33513161267809	4138	0.223627323821876	>15%	1.43356089480695
DSP-1001250007851-H-F06.dcc	WTX	disease4	DKD	Geometric Segment	48856.65	182	Geometric Segment	13.5558651707571	1.45125713102793	3731	0.201632079550367	>15%	1.35164312938941
DSP-1001250007851-H-F07.dcc	WTX	disease4	DKD	Geometric Segment	65511.44	289	Geometric Segment	17.1893784121719	1.38421202759657	4577	0.247351923908344	>15%	1.67931419105957
DSP-1001250007851-H-F08.dcc	WTX	disease4	DKD	Geometric Segment	19972.48	86	Geometric Segment	4.11006180748634	1.75198728963519	2910	0.157263294422827	>15%	0.532465475214011
DSP-1001250007851-H-F09.dcc	WTX	disease4	DKD	Geometric Segment	44778.52	171	Geometric Segment	15.4993782669662	1.40520176673476	2969	0.160451794206658	>15%	1.31068424668064
DSP-1001250007851-H-F10.dcc	WTX	disease4	DKD	Geometric Segment	20051.72	111	Geometric Segment	4.46736008389327	1.67272349665627	2137	0.115488543017726	10-15%	0.491506592505241
DSP-1001250007851-H-F11.dcc	WTX	disease4	DKD	Geometric Segment	51298.36	187	Geometric Segment	11.0091156297257	1.49175941632327	1764	0.0953307392996109	5-10%	0.901095419592941
DSP-1001250007851-H-F12.dcc	WTX	disease4	DKD	Geometric Segment	29210.8	107	Geometric Segment	3.55502776211443	1.84099615254737	1985	0.107274102896671	10-15%	0.450547709796471
DSP-1001250007864-D-A02.dcc	WTX	normal3	normal	PanCK+	20265.55	223	PanCK+	5.61687462665368	1.74287139261718	7004	0.378512753999135	>15%	1.35164312938941
DSP-1001250007864-D-A03.dcc	WTX	normal3	normal	PanCK-	91483.62	450	PanCK-	16.6799110666241	1.37418430214533	8310	0.449092088197147	>15%	2.33465631439989
DSP-1001250007864-D-A04.dcc	WTX	normal3	normal	PanCK+	12966.08	133	PanCK+	3.26246190055495	1.76950261670672	6683	0.361165153480329	>15%	0.778218771466631
DSP-1001250007864-D-A05.dcc	WTX	normal3	normal	PanCK-	133866.42	499	PanCK-	24.7375536445531	1.31580582222831	7507	0.405696065715521	>15%	2.89784095164548
DSP-1001250007864-D-A06.dcc	WTX	normal3	normal	PanCK+	23336.81	195	PanCK+	4.29843980551983	1.91230309425239	5464	0.295287505404237	>15%	0.983013185010482
DSP-1001250007864-D-A07.dcc	WTX	normal3	normal	PanCK-	174741.6	457	PanCK-	21.3352575468541	1.36902589147056	5467	0.295449632511889	>15%	2.17082078356481
DSP-1001250007864-D-A08.dcc	WTX	normal3	normal	PanCK+	15875.8	144	PanCK+	4.68705809260835	1.71591393131047	6226	0.336467790747946	>15%	0.942054302301711
DSP-1001250007864-D-A09.dcc	WTX	normal3	normal	PanCK-	122888.57	486	PanCK-	20.8361860395653	1.33356996972797	6889	0.372297881539127	>15%	2.41657407981743
DSP-1001250007864-D-A10.dcc	WTX	normal3	normal	PanCK+	23311.32	199	PanCK+	5.58381931383732	1.73216819432042	6550	0.353977518374406	>15%	1.2287664812631
DSP-1001250007864-D-B01.dcc	WTX	normal3	normal	PanCK-	77969.65	341	PanCK-	11.612960135364	1.41274779782056	8088	0.437094682230869	>15%	1.76123195647711
DSP-1001250007864-D-B02.dcc	WTX	normal3	normal	Geometric Segment	27983.33	126	Geometric Segment	6.79276107345117	1.59930843745451	5410	0.292369217466494	>15%	1.06493095042802
DSP-1001250007864-D-B03.dcc	WTX	normal3	normal	Geometric Segment	23475.44	117	Geometric Segment	4.48507145870783	1.69466506089521	4873	0.263348465196714	>15%	0.696301006049091
DSP-1001250007864-D-B04.dcc	WTX	normal3	normal	Geometric Segment	14662.85	78	Geometric Segment	2.4803922688383	1.9190379293195	3490	0.188607868568958	>15%	0.450547709796471
DSP-1001250007864-D-B05.dcc	WTX	normal3	normal	Geometric Segment	24797.65	145	Geometric Segment	4.88887730745432	1.65067596297875	5098	0.275507998270644	>15%	0.778218771466631
DSP-1001250007864-D-B06.dcc	WTX	normal3	normal	Geometric Segment	24350.46	128	Geometric Segment	4.25698784219465	1.70934571734631	6005	0.324524427150886	>15%	0.819177654175401
DSP-1001250007864-D-B07.dcc	WTX	normal3	normal	Geometric Segment	22468.42	120	Geometric Segment	4.41302403592314	1.75647484783114	4392	0.237354085603113	>15%	0.737259888757861
DSP-1001250007864-D-B08.dcc	WTX	normal3	normal	Geometric Segment	25761.9	158	Geometric Segment	3.56730940099843	1.92169586296075	3813	0.2060635538262	>15%	0.696301006049091
DSP-1001250007864-D-B09.dcc	WTX	normal3	normal	Geometric Segment	23327.94	127	Geometric Segment	4.69755497756494	1.67432424197436	5088	0.27496757457847	>15%	0.819177654175401
DSP-1001250007864-D-B10.dcc	WTX	normal3	normal	Geometric Segment	26355.95	146	Geometric Segment	5.81302203969306	1.63989471780156	4971	0.268644617380026	>15%	0.901095419592941
DSP-1001250007864-D-B11.dcc	WTX	normal3	normal	Geometric Segment	25468.51	151	Geometric Segment	5.74577349826951	1.68518252193147	4356	0.235408560311284	>15%	0.901095419592941
DSP-1001250007864-D-B12.dcc	WTX	normal3	normal	Geometric Segment	26808.95	135	Geometric Segment	5.16821369432861	1.70618020164988	4165	0.225086467790748	>15%	0.819177654175401
DSP-1001250007864-D-C01.dcc	WTX	normal3	normal	Geometric Segment	24417.75	163	Geometric Segment	6.99772529576407	1.61018430333103	3251	0.175691742325984	>15%	0.860136536884171
DSP-1001250007864-D-C02.dcc	WTX	normal3	normal	Geometric Segment	26498.77	131	Geometric Segment	5.11536276920987	1.68926687964289	4621	0.249729788153913	>15%	0.819177654175401
DSP-1001250007864-D-C03.dcc	WTX	normal3	normal	Geometric Segment	31804.37	175	Geometric Segment	6.59513550659915	1.64303590288735	4292	0.231949848681366	>15%	0.901095419592941
DSP-1001250007864-D-C04.dcc	WTX	normal3	normal	Geometric Segment	35587.97	183	Geometric Segment	8.27731706396404	1.53314810641608	5842	0.315715520968439	>15%	1.18780759855433
DSP-1001250007864-D-C05.dcc	WTX	normal3	normal	Geometric Segment	26084.67	152	Geometric Segment	7.30040027689281	1.56577698675034	4900	0.264807609165586	>15%	0.983013185010482
DSP-1001250007864-D-C06.dcc	WTX	normal3	normal	Geometric Segment	22127.58	107	Geometric Segment	5.71037990178707	1.66783745653938	4023	0.217412451361868	>15%	0.778218771466631
DSP-1001250007864-D-C07.dcc	WTX	normal3	normal	Geometric Segment	21787.39	112	Geometric Segment	4.75653309370227	1.77814793313835	3205	0.17320579334198	>15%	0.696301006049091
DSP-1001250007864-D-C08.dcc	WTX	normal3	normal	Geometric Segment	27479.17	144	Geometric Segment	6.45321574893344	1.61294854137921	4550	0.245892779939473	>15%	0.860136536884171
DSP-1001250007864-D-C12.dcc	WTX	normal3	normal	Geometric Segment	30810.9	178	Geometric Segment	3.66187506612971	1.80800738436748	2507	0.135484219628188	10-15%	0.450547709796471
DSP-1001250007864-D-D01.dcc	WTX	normal3	normal	Geometric Segment	27445.12	130	Geometric Segment	6.77588364024382	1.52515714180848	3783	0.204442282749676	>15%	0.737259888757861
DSP-1001250007864-D-D02.dcc	WTX	normal3	normal	Geometric Segment	49933.55	255	Geometric Segment	11.3232699248762	1.39104248209162	6401	0.345925205361003	>15%	1.31068424668064
DSP-1001250007864-D-D03.dcc	WTX	normal3	normal	Geometric Segment	41998.39	223	Geometric Segment	8.31208658598909	1.58985690527568	3828	0.206874189364462	>15%	1.06493095042802
DSP-1001250007864-D-D04.dcc	WTX	normal3	normal	Geometric Segment	31837.78	164	Geometric Segment	5.59406087983504	1.66041536483104	3232	0.174664937310852	>15%	0.696301006049091
DSP-1001250007864-D-D05.dcc	WTX	normal3	normal	Geometric Segment	20978.54	100	Geometric Segment	4.89836877823655	1.85887583600117	1712	0.0925205361003026	5-10%	0.573424357922781
DSP-1001250007864-D-D06.dcc	WTX	normal3	normal	Geometric Segment	25290.51	127	Geometric Segment	5.45702329540757	1.65247677119545	4358	0.235516645049719	>15%	0.778218771466631
DSP-1001250007864-D-D07.dcc	WTX	normal3	normal	Geometric Segment	25689.6	132	Geometric Segment	5.34950663584998	1.67283866615176	3639	0.196660181582361	>15%	0.696301006049091
DSP-1001250007864-D-D08.dcc	WTX	normal3	normal	Geometric Segment	34535.6	181	Geometric Segment	8.83609692836015	1.50456224739281	5310	0.286964980544747	>15%	1.18780759855433
DSP-1001250007864-D-D09.dcc	WTX	normal3	normal	Geometric Segment	24650.3	128	Geometric Segment	5.76312656550956	1.61535952869857	4448	0.240380458279291	>15%	0.860136536884171
DSP-1001250007864-D-D10.dcc	WTX	normal3	normal	Geometric Segment	18153.22	83	Geometric Segment	4.68980703825908	1.69435897760671	2836	0.153264159100735	>15%	0.573424357922781
