SampleID	UMAP1	UMAP2	class	Segment	Scan	Patient
DSP-1001250007864-D-D12.dcc	-5.44123593141448	-12.3064850096433	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E01.dcc	-5.30392351915252	-12.3665550474851	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E02.dcc	-4.74280443956267	-12.6781328444211	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E03.dcc	-5.15392151643645	-12.8304203276364	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E04.dcc	-4.72645703126799	-12.6452978377072	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E05.dcc	-5.53989687730681	-12.154327226135	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E06.dcc	-4.47105541993987	-12.091037583801	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E07.dcc	-4.50082054902922	-12.0901010756223	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E08.dcc	-4.41668740083587	-12.2497738127439	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E09.dcc	-5.57364121248137	-12.2123029951779	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E10.dcc	-5.13764992524993	-12.7506016020505	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E11.dcc	-5.39068976213347	-12.4043119673459	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-E12.dcc	-4.39422980119597	-12.8059871916501	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-F01.dcc	-4.7207607345761	-12.5203903441159	normal	Geometric Segment	Scan_03	Pt_03
DSP-1001250007864-D-F02.dcc	13.2350603027164	2.27949635937529	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-F03.dcc	9.05382117460359	0.743156599548628	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-F04.dcc	13.3609043044864	2.23325459912138	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-F05.dcc	9.69301470945466	1.41543214276152	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-F06.dcc	13.4878154678165	2.22283999874907	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-F07.dcc	9.67806300352204	1.39881102993803	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-F08.dcc	13.4018779678165	2.30110137417631	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-F09.dcc	9.71183261106599	1.45500104382353	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-F10.dcc	13.3689533157169	2.05265634014921	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-F11.dcc	9.63023337553132	1.33566062405424	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-F12.dcc	13.286614982587	2.25361459210234	normal	PanCK+	Scan_04	Pt_04
DSP-1001250007864-D-G01.dcc	9.61902293394197	1.32391469433623	normal	PanCK-	Scan_04	Pt_04
DSP-1001250007864-D-G02.dcc	-9.72620907594573	2.55011193707304	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G03.dcc	-9.76575413514983	2.74555032208281	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G04.dcc	-9.84921494295012	2.57172982647734	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G05.dcc	-9.86334648897063	2.63085954144316	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G06.dcc	-9.80765095521819	2.74911467984038	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G07.dcc	-9.9214614944638	2.61342637493925	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G08.dcc	-9.96730175783049	2.77158658459501	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G09.dcc	-9.79873696138274	2.62712829068022	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G10.dcc	-9.88876858522307	2.63935677960234	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G11.dcc	-9.73656979371917	2.70250527813749	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-G12.dcc	-9.71766129304778	2.66052834942656	normal	Geometric Segment	Scan_04	Pt_04
DSP-1001250007864-D-H01.dcc	11.1310726089298	2.21686427548247	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H02.dcc	10.7570959014713	1.89990441754179	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007864-D-H03.dcc	11.185992805463	2.09457175686674	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H04.dcc	10.8379712981998	1.96480624630766	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007864-D-H05.dcc	11.2762628478824	2.14158313229399	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H06.dcc	10.7077699584781	1.96919791653471	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007864-D-H07.dcc	11.4018112106143	2.19180648281889	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H08.dcc	10.7003312988101	1.8852707619937	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007864-D-H09.dcc	11.2549386901676	2.14727036907988	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H10.dcc	10.7035442275821	1.86168734982329	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007864-D-H11.dcc	11.4444938583194	2.12811677410917	DKD	PanCK+	Scan_01	Pt_01
DSP-1001250007864-D-H12.dcc	10.7935634536563	1.95454900219755	DKD	PanCK-	Scan_01	Pt_01
DSP-1001250007868-B-C02.dcc	8.38186892698396	0.338309454468061	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-C03.dcc	13.5034681243717	2.02251641705351	DKD	PanCK+	Scan_05	Pt_05
DSP-1001250007868-B-C04.dcc	8.30766305158723	0.26560895397978	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-C06.dcc	8.39564952085603	0.307997393158247	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-C08.dcc	8.3955140991031	0.319645094421674	DKD	PanCK-	Scan_05	Pt_05
DSP-1001250007868-B-C09.dcc	13.5260520858585	2.17373912289457	DKD	PanCK+	Scan_05	Pt_05
